country,province,population,Lat,Long
China,All,1401667160,35.8617,104.1954
India,All,1359530533,21,78
US,All,329413981,37.0902,-95.7129
Indonesia,All,266911900,-0.7893,113.9213
Pakistan,All,218873520,30.3753,69.3451
Brazil,All,211226388,-14.235,-51.9253
Nigeria,All,200963599,9.082,8.6753
Bangladesh,All,168231270,23.685,90.3563
Russia,All,146780720,60,90
Mexico,All,126577691,23.6345,-102.5528
Japan,All,126010000,36,138
Philippines,All,108376492,13,122
Egypt,All,100103288,26,30
Ethiopia,All,98665000,9.145,40.4897
Vietnam,All,96208984,16,108
Congo (Kinshasa),All,86790567,-4.0383,21.7587
Iran,All,83262859,32,53
Turkey,All,83154997,38.9637,35.2433
Germany,All,83149300,51,9
France,All,67064000,46.2276,2.2137
Thailand,All,66478917,15,101
United Kingdom,All,66435600,55.3781,-3.436
Italy,All,60247214,43,12
South Africa,All,58775022,-30.5595,22.9375
Tanzania,All,55890747,-6.369,34.8888
Burma,All,54339766,21.9162,95.956
"Korea, South",All,51780579,36,128
Colombia,All,49395678,4.5709,-74.2973
Kenya,All,47564296,-0.0236,37.9062
Spain,All,47100396,40,-4
Argentina,All,44938712,-38.4161,-63.6167
Algeria,All,43000000,28.0339,1.6596
Sudan,All,42327265,12.8628,30.2176
Ukraine,All,41902416,48.3794,31.1656
Uganda,All,40299300,1,32
Iraq,All,39127900,33,44
Poland,All,38386000,51.9194,19.1451
Canada,All,37949851,56.130367,-106.346771
Morocco,All,35832595,31.7917,-7.0926
Saudi Arabia,All,34218169,24,45
Uzbekistan,All,34057261,41.3775,64.5853
Malaysia,All,32712760,2.5,112.5
Afghanistan,All,32225560,33,65
Venezuela,All,32219521,6.4238,-66.5897
Peru,All,32131400,-9.19,-75.0152
Angola,All,31127674,-11.2027,17.8739
Ghana,All,30280811,7.9465,-1.0232
Nepal,All,29609623,28.1667,84.25
Yemen,All,29161922,15.552727,48.516388
Mozambique,All,28571310,-18.665695,35.529562
Cameroon,All,25876000,3.848,11.5021
Cote d'Ivoire,All,25823071,7.54,-5.5471
Madagascar,All,25680342,-18.7669,46.8691
Australia,All,25639623,-25.274399,133.775131
North Korea,All,25450000,40.339851,127.510094
Taiwan,All,23604265,23.534,120.559402
Niger,All,22314743,17.6078,8.0817
Sri Lanka,All,21803000,7,81
Burkina Faso,All,20870060,12.2383,-1.5616
Mali,All,19973000,17.570692,-3.996166
Romania,All,19405156,45.9432,24.9668
Chile,All,19107216,-35.6751,-71.543
Kazakhstan,All,18659072,48.0196,66.9237
Malawi,All,17563749,-13.254308,34.301525
Netherlands,All,17442281,52.1326,5.2913
Ecuador,All,17439824,-1.8312,-78.1834
Zambia,All,17381168,-15.4167,28.2833
Syria,All,17070135,34.802075,38.996815
Guatemala,All,16604026,15.7835,-90.2308
Senegal,All,16209125,14.4974,-14.4524
Chad,All,15692969,15.4542,18.7322
Somalia,All,15442905,5.1521,46.1996
Cambodia,All,15288489,11.55,104.9167
Zimbabwe,All,15159624,-20,30
South Sudan,All,12778250,6.877,31.307
Rwanda,All,12374397,-1.9403,29.8739
Guinea,All,12218357,9.9456,-9.6966
Benin,All,11733059,9.3077,2.3158
Tunisia,All,11722038,34,9
Haiti,All,11577779,18.9712,-72.2852
Belgium,All,11524454,50.8333,4
Bolivia,All,11469896,-16.2902,-63.5887
Cuba,All,11209628,22,-80
Burundi,All,10953317,-3.3731,29.9189
Greece,All,10724599,39.0742,21.8243
Czechia,All,10681161,49.8175,15.473
Jordan,All,10631296,31.24,36.51
Dominican Republic,All,10358320,18.7357,-70.1627
Sweden,All,10333456,63,16
Portugal,All,10276617,39.3999,-8.2245
Azerbaijan,All,10067108,40.1431,47.5769
Hungary,All,9772756,47.1625,19.5033
United Arab Emirates,All,9770529,24,54
Belarus,All,9413446,53.7098,27.9534
Israel,All,9168750,31,35
